TABLE_NAME	INDEX_NAME	NON_UNIQUE	COLUMNS
accounces	PRIMARY	0	code
all_log	all_log_bank_payment_id_index	0	bank_payment_id
all_log	PRIMARY	0	code
bankout_config	PRIMARY	0	code
banks	PRIMARY	0	code
banks_account	banks	1	banks
banks_account	banks_account_date_end_time_end_index	1	date_end,time_end
banks_account	banks_account_date_start_time_start_index	1	date_start,time_start
banks_account	banks_account_end_at_index	1	end_at
banks_account	banks_account_start_at_index	1	start_at
banks_account	PRIMARY	0	code
banks_configs	PRIMARY	0	code
banks_rule	PRIMARY	0	code
bank_payment	bankcheck	1	value,date_create
bank_payment	bank_payment_account_code_tx_hash_index	0	account_code,tx_hash
bank_payment	bank_payment_deposit_status_index	1	deposit_status
bank_payment	idx_bp_acc_month_time	1	account_code,bank_time,code
bank_payment	idx_bp_bank_acct_status_enable	1	bankname,account_code,status,enable
bank_payment	idx_bp_channel	1	channel
bank_payment	idx_bp_date_create	1	date_create
bank_payment	idx_bp_date_status_enable	1	date_create,status,enable
bank_payment	idx_bp_member_status_enable_date	1	member_topup,status,enable,date_create
bank_payment	idx_bp_status_enable_date	1	status,enable,date_create
bank_payment	PRIMARY	0	code
bank_payment	txid	1	txid
bank_payment	tx_hash	0	tx_hash
batch_user	PRIMARY	0	code
bills	emp_code	1	emp_code
bills	game_code	1	game_code
bills	idx_bills_enable_date	1	enable,date_create
bills	idx_bills_enable_transfer_date_pro	1	enable,transfer_type,date_create,pro_code
bills	member_code	1	member_code
bills	PRIMARY	0	code
bills	pro_code	1	pro_code
bills_free	emp_code	1	emp_code
bills_free	game_code	1	game_code
bills_free	member_code	1	member_code
bills_free	PRIMARY	0	code
bills_free	pro_code	1	pro_code
bonus	PRIMARY	0	code
bonus_spin	member_code	1	member_code
bonus_spin	PRIMARY	0	code
broadcast_sessions	broadcast_sessions_user_id_unique	0	user_id
broadcast_sessions	PRIMARY	0	id
checkins	PRIMARY	0	code
check_case	PRIMARY	0	code
check_case	txid	0	txid
client_mode_events	client_mode_events_name_index	1	name
client_mode_events	client_mode_events_user_id_index	1	user_id
client_mode_events	client_mode_events_user_id_mode_created_at_index	1	user_id,mode,created_at
client_mode_events	PRIMARY	0	id
client_presence	client_presence_last_seen_at_index	1	last_seen_at
client_presence	client_presence_user_id_client_id_unique	0	user_id,client_id
client_presence	client_presence_user_id_index	1	user_id
client_presence	client_presence_user_id_mode_index	1	user_id,mode
client_presence	PRIMARY	0	id
configs	PRIMARY	0	code
contact_channels	PRIMARY	0	code
cornjobs	PRIMARY	0	id
coupons	PRIMARY	0	code
coupons_list	PRIMARY	0	code
daily_stat	PRIMARY	0	code
dashboard_summary_daily	idx_dashboard_summary_daily_web_date	1	web_code,summary_date
dashboard_summary_daily	PRIMARY	0	id
dashboard_summary_daily	uk_dashboard_summary_daily_date_web	0	summary_date,web_code
domain_expiries	domain_expiries_checked_at_index	1	checked_at
domain_expiries	domain_expiries_expires_at_index	1	expires_at
domain_expiries	domain_expiries_expires_checked_index	1	expires_at,checked_at
domain_expiries	domain_expiries_role_domain_unique	0	role,domain
domain_expiries	domain_expiries_role_index	1	role
domain_expiries	domain_expiries_source_index	1	source
domain_expiries	domain_expiries_status_index	1	status
domain_expiries	PRIMARY	0	id
employees	PRIMARY	0	code
failed_jobs	failed_jobs_uuid_unique	0	uuid
failed_jobs	PRIMARY	0	id
failed_requests	failed_requests_company_index	1	company
failed_requests	failed_requests_created_at_index	1	created_at
failed_requests	failed_requests_game_user_index	1	game_user
failed_requests	failed_requests_status_index	1	status
failed_requests	failed_requests_trace_id_unique	0	trace_id
failed_requests	PRIMARY	0	id
faq	PRIMARY	0	code
games	PRIMARY	0	code
games_content	PRIMARY	0	code
games_creditlog	PRIMARY	0	code
games_seamless	PRIMARY	0	code
games_single	id	0	id
games_single	PRIMARY	0	code
games_type	PRIMARY	0	code
games_user	game_code	1	game_code
games_user	member_code	1	member_code
